wavelength,relative_responsivity_LiCOR
364.8021828103684,1.7552699907582507
367.66712141882675,1.752189411609379
371.35061391541615,1.5869383444087504
374.62482946794,1.744708005104954
378.7175989085948,1.9015975003300554
382.4010914051842,2.058927078290708
386.08458390177356,2.2162566562513604
388.54024556616645,2.3749064824186803
390.17735334242843,3.3408880869603337
392.22373806275584,4.629010253927717
393.86084583901777,5.91757250363068
395.0886766712142,7.3678651586498205
395.9072305593452,8.657307573823857
397.1350613915416,10.107600228843012
397.9536152796726,12.042203934339653
398.77216916780355,14.138097962416907
399.5907230559345,16.233991990494204
400,20.427100294855435
400.4092769440655,22.200853760506973
400.4092769440655,24.136337631474717
400.4092769440655,26.878273115345678
400.4092769440655,30.910531179861806
400.4092769440655,32.68472472824892
400.4092769440655,34.62020859921665
400.4092769440655,36.07182150244246
400.4092769440655,37.523434405668254
400.4092769440655,38.81375698631342
400.4092769440655,40.749240857281166
400.4092769440655,43.007305373410205
400.81855388813096,84.45847819390045
402.4556616643929,85.58575012102276
404.91132332878584,86.55085156009329
407.7762619372442,87.83809356158957
411.0504774897681,89.12489548035029
413.9154160982265,90.25084715926593
416.7803547066849,91.21550851560093
420.05457025920873,91.85714914403908
422.91950886766716,92.49922985521277
424.9658935879945,93.14219073185758
427.42155525238746,93.78471152576684
429.4679399727149,94.91154337015358
431.51432469304234,95.87708489195968
433.15143246930427,96.84306649650134
434.7885402455662,98.13162874620429
436.4256480218281,98.9363200281653
439.699863574352,99.4166703340228
442.1555252387449,99.73661048277076
445.4297407912687,99.89438014346698
448.29467939972716,99.89129956431809
450.7503410641201,99.88865906790477
453.206002728513,100.36988953923337
455.6616643929059,100.68982968798134
458.52660300136426,101.33191039915505
460.98226466575716,101.97443119306429
463.43792633015005,101.97179069665097
465.89358799454294,101.64656955507635
467.5306957708049,100.99964793381156
469.16780354706685,100.35272631254676
470.39563437926336,99.7062447740175
472.0327421555253,98.89803283017207
474.0791268758527,98.25067112617171
475.7162346521146,97.76503982748756
476.94406548431107,97.11855828895833
478.9904502046385,96.95506755269992
480.6275579809004,96.79201689917704
482.6739427012278,96.78981648549927
484.7203274215552,97.27148703956344
486.7667121418827,97.7531575936276
488.8130968622101,98.39611847027241
490.85948158253757,98.87778902433658
493.31514324693046,99.35901949566518
495.77080491132335,99.8402499669938
497.81718963165076,100.64450116621924
499.8635743519782,101.28746204286406
501.9099590723056,101.93042291950887
504.77489768076396,102.57250363068258
506.4120054570259,103.21590459006293
508.45839017735335,103.85886546670774
510.50477489768076,104.01795537561061
512.5511596180082,104.01575496193284
515.0068212824011,104.01311446551952
517.462482946794,103.6878933239449
520.3274215552524,103.20094177705408
522.7830832196453,102.87572063547947
525.6480218281038,102.38876908858865
528.512960436562,101.7405272191172
531.3778990450205,101.09228534964573
533.8335607094134,100.44448356290982
536.2892223738063,99.63539145359327
538.7448840381992,98.82629934427672
540.7912687585266,98.01764731769573
543.2469304229195,97.36984553095982
545.2933151432469,96.72248382695948
547.7489768076398,96.2359723628042
550.2046384720327,95.58817057606831
553.0695770804912,95.10121902917749
555.9345156889495,94.61426748228666
559.2087312414734,93.96558553007965
562.4829467939973,93.63948422303393
565.3478854024556,93.4751133213044
569.849931787176,93.63156273379396
573.1241473396999,93.95062271707081
576.8076398362892,94.43053294019276
579.6725784447476,95.07261365136645
581.3096862210095,95.55472428816617
583.7653478854024,96.51982572723672
585.4024556616644,97.00193636403644
586.6302864938609,97.64577740615235
